zip,year,month,count
11212,2008,9,1
11421,2011,9,2
10029,2006,7,3
10469,2007,5,1
10011,2008,5,2
10025,2007,1,3
10031,2010,4,12
11691,2009,8,3
10019,2011,2,1
10037,2014,4,2
11367,2013,7,1
11428,2015,2,3
11216,2007,8,1
11432,2014,4,7
11233,2007,7,7
10024,2013,3,1
11694,2010,7,1
11214,2012,5,1
11375,2012,3,3
11224,2010,1,1
11356,2014,11,2
10467,2012,12,6
11204,2007,10,2
10301,2006,10,1
10128,2009,10,2
11432,2012,2,2
11105,2006,6,1
11416,2011,6,2
11433,2011,4,4
11433,2010,11,3
11368,2013,12,8
11368,2007,9,1
10467,2009,4,7
10039,2014,4,2
11692,2011,11,3
11221,2015,1,8
10027,2011,6,7
10026,2007,5,1
11429,2011,6,2
11372,2007,4,3
10003,2013,5,3
10009,2006,3,1
11224,2007,3,1
11692,2010,4,2
11236,2009,5,3
11101,2014,11,2
11385,2011,10,3
10468,2006,6,9
11427,2014,1,1
10457,2005,6,1
10451,2013,4,2
10457,2014,4,7
10454,2007,5,3
11211,2011,7,2
11413,2011,2,3
11218,2007,5,2
11377,2006,9,3
10025,2010,3,3
10459,2009,3,2
10453,2007,2,13
10030,2013,6,4
11221,2007,11,3
11238,2010,12,3
11354,2010,9,1
10036,2006,4,2
11691,2006,2,3
11226,2005,12,1
11211,2008,10,1
11385,2013,1,3
11377,2014,7,2
11427,2009,9,1
10026,2012,9,2
10453,2008,7,10
11237,2009,11,4
10453,2013,1,5
10003,2012,12,3
10065,2012,9,2
11217,2006,4,1
10010,2014,10,2
10280,2006,3,1
10002,2011,3,2
10463,2013,3,4
10453,2011,10,7
11368,2012,5,5
10012,2005,11,1
10025,2008,8,4
11418,2014,10,1
11412,2009,3,1
10011,2006,4,1
11235,2014,6,2
10001,2010,12,1
11218,2012,9,4
10474,2009,2,7
11216,2008,1,4
10033,2006,11,2
11233,2013,8,9
11216,2013,7,9
10128,2012,7,1
10473,2012,4,2
11367,2007,8,3
10472,2014,10,1
11355,2009,12,1
10468,2010,10,5
10033,2014,3,4
10023,2014,1,1
11103,2012,12,2
11355,2014,2,2
11230,2014,9,1
11210,2012,7,3
10454,2012,9,2
10301,2012,1,1
11203,2012,3,7
10024,2010,2,1
11236,2013,4,2
10474,2006,8,2
10036,2008,5,1
10451,2009,5,2
10466,2015,1,3
11208,2007,9,4
11417,2011,3,1
11208,2013,12,5
11201,2010,8,1
11103,2009,4,1
10469,2012,9,2
10040,2012,11,5
11373,2008,10,2
11233,2008,2,2
10473,2009,12,2
11373,2011,7,1
11226,2010,9,5
11355,2012,4,1
11203,2007,6,5
10025,2013,2,5
11214,2007,9,1
11379,2011,6,1
11220,2009,1,4
10029,2014,9,2
10028,2009,8,1
10014,2010,7,1
10466,2007,11,2
10467,2013,5,8
10034,2011,2,1
11220,2006,7,2
11232,2008,4,1
11434,2010,9,4
11219,2014,1,1
10003,2009,4,1
11213,2008,9,2
11238,2008,11,2
10034,2012,4,3
10002,2006,11,3
11423,2007,4,1
11697,2013,8,1
10474,2006,5,1
10470,2015,1,1
10451,2009,8,6
10026,2013,7,3
10453,2014,10,14
11217,2010,3,2
10002,2014,3,1
11211,2006,9,1
10013,2010,1,1
11420,2010,1,1
11203,2015,2,1
10026,2008,1,4
10035,2008,11,2
11209,2006,8,1
10470,2007,11,2
11103,2007,7,1
10012,2012,1,2
11432,2008,12,3
11207,2010,10,3
11235,2011,6,1
10467,2013,8,3
11418,2011,10,4
10454,2013,7,1
10016,2012,5,2
11210,2013,9,2
11419,2012,10,3
11420,2012,6,1
11210,2007,12,6
10472,2011,10,9
10040,2010,2,1
11215,2010,2,4
11218,2013,7,2
10472,2013,1,2
10033,2011,3,2
10474,2011,12,1
11218,2008,1,1
10472,2008,7,2
11234,2007,8,1
11418,2013,1,1
10035,2005,9,1
11204,2009,12,1
11216,2012,9,3
10128,2007,12,3
11230,2011,9,1
10039,2008,12,1
11417,2014,3,1
10013,2005,2,1
11375,2013,11,1
10473,2011,2,1
10469,2008,1,2
11213,2010,6,4
10309,2009,4,1
10025,2008,5,1
11417,2006,11,1
11221,2013,6,3
11372,2012,10,1
10467,2008,2,10
10030,2007,11,2
11373,2014,7,4
11434,2008,6,4
11209,2014,12,2
10469,2013,7,2
10029,2011,9,3
11213,2012,1,1
11367,2007,5,1
10457,2008,12,10
10451,2006,2,2
10034,2014,2,2
11219,2013,10,1
11233,2013,5,3
10030,2015,1,5
11219,2011,1,2
11369,2008,11,1
11421,2009,1,2
10034,2009,12,3
10013,2007,3,2
11212,2006,10,2
11691,2013,4,4
11226,2008,6,12
11422,2012,10,1
10310,2009,10,1
10460,2009,10,8
11217,2007,1,1
10304,2006,1,1
11102,2011,6,2
11360,2012,3,1
11413,2012,4,1
11232,2006,8,1
10031,2006,3,6
10019,2009,12,2
11220,2011,9,1
11212,2012,1,3
10036,2007,1,1
10462,2011,6,3
11225,2010,1,3
10028,2013,4,2
11421,2014,9,2
10037,2010,11,2
11375,2015,2,1
10031,2014,11,4
10460,2012,7,3
10037,2011,4,1
11374,2007,12,1
11374,2013,9,2
11213,2006,10,5
11422,2009,7,1
10026,2007,8,1
10473,2007,10,1
10454,2007,8,1
11372,2006,1,1
11373,2006,9,1
10467,2007,7,6
11236,2009,8,2
11433,2012,2,6
11103,2013,8,1
11432,2011,4,1
10474,2008,4,1
11234,2013,7,1
10458,2010,7,6
11234,2008,1,1
10040,2013,3,1
11212,2010,6,2
11218,2007,8,2
11356,2011,11,1
11233,2012,12,3
11225,2012,6,4
10044,2012,6,1
10021,2007,12,1
10018,2009,2,1
11692,2006,3,2
11416,2014,6,1
11433,2014,4,1
10466,2013,6,2
10039,2010,11,1
11418,2007,2,1
10009,2010,4,1
11223,2009,8,1
10472,2007,2,4
11236,2006,2,1
11203,2013,11,2
10469,2007,8,1
10011,2008,8,1
11429,2014,6,1
11354,2008,6,1
11419,2006,1,1
10027,2014,6,5
11692,2014,11,1
11205,2010,10,1
11691,2009,5,4
11208,2012,8,1
10457,2011,4,5
10033,2005,10,2
11225,2007,3,4
11427,2011,1,1
11385,2014,10,3
11413,2014,2,1
11207,2006,6,6
11211,2014,7,2
11231,2010,9,1
11101,2010,4,2
11216,2007,5,5
10025,2006,4,3
10075,2011,9,2
10457,2010,11,5
11413,2009,12,3
10302,2010,10,1
11369,2010,12,2
11222,2007,4,1
10016,2013,12,1
11435,2009,6,1
10468,2009,1,9
10030,2013,7,1
11436,2011,10,1
11693,2011,6,1
10033,2008,4,2
11233,2012,3,2
10011,2008,11,1
10040,2007,9,1
10469,2007,11,2
10040,2013,12,2
11370,2009,9,1
11208,2012,11,9
10030,2008,1,1
10031,2011,5,4
10021,2010,1,1
10039,2010,8,2
10468,2006,7,14
11203,2013,8,4
11211,2011,6,3
11228,2009,7,1
11375,2007,7,1
11215,2013,12,2
10009,2011,8,1
11215,2007,9,1
11436,2013,1,1
11223,2009,11,1
11356,2014,5,1
10021,2012,6,1
11416,2008,10,1
10467,2015,2,8
10027,2011,7,4
10035,2010,3,2
11231,2011,10,1
11235,2006,9,2
11217,2008,11,1
10469,2015,1,5
10463,2012,8,1
11429,2008,10,2
10027,2008,10,4
11231,2008,7,5
10457,2010,8,6
10032,2014,1,4
10019,2009,3,4
10031,2006,12,8
11230,2006,6,2
10302,2011,9,2
10031,2014,8,4
11229,2012,10,3
10472,2005,12,1
11218,2015,1,1
10003,2013,11,1
10026,2007,11,1
11220,2010,10,2
10035,2007,1,1
11374,2010,1,2
10458,2005,11,3
11369,2010,3,3
11413,2009,3,1
11433,2010,5,3
11367,2013,6,1
10459,2011,2,3
11238,2006,4,3
10454,2015,1,1
11225,2007,12,1
11233,2007,6,5
11225,2013,9,1
11412,2007,10,1
10029,2006,6,1
11221,2007,5,6
11203,2008,2,4
10458,2008,9,5
11218,2007,11,1
11435,2007,4,4
10454,2007,11,3
11432,2010,8,5
10470,2013,7,3
10464,2006,7,1
10462,2014,7,3
11103,2013,11,1
11101,2014,5,3
10303,2011,4,1
11412,2011,2,2
11204,2009,3,1
10011,2010,12,1
11368,2012,11,3
11220,2006,6,2
10474,2011,3,2
10033,2011,12,1
10462,2006,9,4
10456,2011,1,5
10303,2010,11,3
10030,2007,8,3
11102,2014,7,1
10461,2013,10,1
10003,2015,2,1
10014,2010,6,1
11210,2007,3,2
11237,2009,5,2
11226,2014,10,7
10456,2013,10,5
11203,2007,7,4
11224,2009,10,1
11201,2014,4,2
11106,2011,6,1
10014,2012,1,3
11239,2009,9,1
11373,2011,6,2
11229,2009,7,1
10002,2014,12,2
10037,2008,3,1
11103,2015,2,1
10029,2010,10,4
10002,2009,2,1
10459,2007,10,2
11221,2012,9,5
10033,2006,5,2
11234,2015,1,2
11231,2007,2,1
10035,2008,8,4
10013,2007,12,1
10013,2013,9,1
11210,2012,6,3
10452,2011,1,8
10034,2009,3,1
11215,2012,5,1
10301,2005,8,1
10040,2012,5,6
11235,2014,7,3
10452,2013,10,6
10457,2008,3,8
10016,2010,2,1
11369,2013,2,4
10451,2009,11,4
10032,2009,9,6
10036,2008,11,2
11216,2013,6,4
11238,2008,5,4
11436,2007,2,2
11417,2009,2,1
10468,2014,9,4
10472,2010,9,5
11207,2011,9,8
11418,2010,9,2
11234,2007,11,1
11411,2009,12,1
11370,2014,1,1
10453,2008,6,8
10467,2013,11,5
10466,2007,5,2
11201,2012,2,1
10455,2011,1,3
11230,2010,10,1
10470,2007,8,1
11377,2014,6,1
11209,2006,11,3
10039,2008,3,1
11417,2014,12,1
10467,2009,1,14
10310,2014,5,1
10039,2014,1,1
11237,2008,6,5
10032,2005,7,2
11104,2006,10,3
11419,2010,3,2
11220,2013,5,3
11433,2011,1,5
11207,2012,3,3
10469,2009,2,3
10460,2014,5,8
11208,2011,7,6
10472,2009,8,5
10469,2014,12,4
10011,2012,10,1
11692,2010,1,2
10463,2014,6,1
10467,2006,7,8
11373,2013,12,2
11433,2013,10,2
10466,2005,10,1
11372,2007,1,1
10454,2006,8,3
11208,2008,10,3
11209,2008,1,1
11213,2007,10,3
11692,2012,6,1
10026,2006,8,4
10036,2009,7,1
10451,2008,7,3
10468,2015,2,3
11429,2012,11,1
11235,2013,3,1
10451,2013,1,3
11415,2005,10,1
11378,2008,10,1
11421,2008,2,2
10457,2014,1,9
11212,2011,2,2
10032,2010,8,6
11385,2013,4,1
10451,2011,10,4
10033,2013,6,2
11249,2009,10,1
11214,2008,10,1
11378,2011,7,2
10029,2012,12,2
11232,2007,8,2
10031,2007,3,1
10304,2013,2,1
10026,2009,2,4
10016,2006,9,1
10460,2011,8,5
11225,2014,11,3
11216,2006,5,6
10025,2007,4,1
10031,2010,1,2
10037,2014,1,1
11421,2013,8,3
11207,2007,6,5
11221,2011,3,4
11229,2008,11,2
11413,2008,9,1
10065,2014,12,1
10017,2008,4,1
11374,2014,8,1
11225,2006,3,4
10026,2014,12,2
11216,2011,12,4
11218,2009,2,2
11230,2012,12,1
10031,2012,6,6
11367,2008,4,1
10474,2012,9,1
10454,2014,12,6
11432,2014,1,3
10453,2009,5,11
11419,2007,1,3
10469,2006,8,3
11103,2014,9,1
11236,2007,2,1
10458,2009,3,15
10472,2006,2,1
11238,2009,6,1
11218,2014,12,1
10454,2009,2,3
10021,2006,12,1
11236,2008,7,7
11432,2009,9,1
11368,2011,7,5
10128,2006,12,1
11221,2005,10,1
10475,2011,6,1
11366,2011,5,1
10462,2013,3,3
11236,2013,1,6
11236,2011,10,4
11368,2008,10,1
11385,2009,5,1
10002,2015,1,2
11419,2013,2,1
11411,2010,7,1
11210,2006,12,2
10452,2010,5,7
10470,2006,11,2
10003,2006,7,1
11691,2014,10,5
11355,2010,6,2
11358,2007,4,1
11205,2007,6,1
11211,2013,12,1
11210,2011,5,4
11220,2009,4,1
10024,2005,4,1
11428,2010,10,1
10024,2014,6,1
10304,2010,3,1
10128,2011,5,1
10474,2007,5,2
11235,2010,2,2
11422,2008,8,2
10040,2011,6,3
11423,2006,4,1
11232,2008,1,2
11693,2007,9,1
10032,2008,3,6
11213,2011,2,2
10466,2011,3,2
10453,2013,4,4
11373,2012,5,1
11422,2013,2,1
11212,2007,10,3
10457,2009,9,5
10461,2010,5,1
11229,2010,12,1
11219,2012,2,1
10451,2007,2,2
10473,2010,6,1
10034,2008,9,1
11377,2012,8,3
10456,2010,5,8
11414,2011,3,1
11421,2007,7,3
11220,2012,12,4
11357,2010,8,2
11420,2014,11,4
10302,2012,3,1
11234,2009,2,2
10017,2006,5,2
11233,2011,9,6
10473,2012,1,2
10030,2006,11,3
11372,2013,2,1
10467,2014,9,8
11216,2008,4,5
11210,2014,8,5
11367,2011,12,1
11436,2009,11,2
10011,2006,1,1
10029,2013,5,1
11222,2008,5,2
10030,2014,3,3
10468,2013,11,4
10301,2012,4,1
11106,2012,5,1
10023,2014,4,1
11234,2014,12,1
11370,2010,8,1
10452,2014,4,16
11105,2013,8,1
11229,2007,1,3
10033,2007,5,1
10035,2012,10,1
11106,2010,2,1
10459,2006,10,7
10034,2010,7,2
11420,2014,8,2
10013,2014,8,1
11102,2012,5,2
10304,2010,12,1
11412,2010,6,4
11365,2010,2,1
11211,2013,3,1
11231,2009,8,1
10468,2013,8,6
10009,2009,10,1
11210,2006,3,1
10456,2012,2,9
11370,2010,11,2
11203,2006,7,3
11206,2011,10,2
10470,2009,2,1
11219,2010,5,1
11233,2010,10,5
10461,2012,2,1
10030,2006,8,4
10462,2013,12,3
10462,2007,9,2
11206,2013,1,2
10471,2006,11,1
10470,2014,12,2
10455,2014,4,1
11373,2010,2,2
11206,2008,7,5
11220,2007,6,2
10128,2006,3,2
11419,2008,11,4
11203,2009,1,4
10001,2007,4,1
11691,2008,6,1
10456,2014,4,8
11226,2013,4,9
11234,2014,3,2
11420,2011,5,2
11411,2008,9,1
10040,2014,7,3
10470,2006,8,1
10466,2006,5,2
10030,2014,12,5
11201,2011,1,1
10030,2009,2,1
11367,2011,3,2
11421,2015,2,3
10468,2008,2,4
10461,2014,4,1
11236,2010,9,4
10451,2005,12,1
11221,2008,4,9
11361,2012,1,1
11209,2015,1,1
11207,2013,5,3
11369,2012,10,3
11428,2011,9,1
10452,2012,2,5
11434,2013,4,3
11435,2008,5,1
11372,2005,9,1
11229,2010,3,1
11368,2014,6,1
11420,2006,12,2
10013,2006,12,1
10475,2014,7,1
10466,2011,12,4
10032,2008,12,3
11229,2008,8,1
10031,2013,9,2
10031,2007,12,5
11421,2013,11,2
10029,2012,3,1
11365,2013,3,1
11211,2010,2,2
11413,2010,7,1
11369,2009,7,1
11105,2007,7,1
10460,2011,11,3
10310,2010,4,1
11369,2006,1,1
11235,2013,12,1
11235,2007,9,1
11106,2013,3,1
11225,2014,8,3
10460,2010,4,6
11215,2006,9,2
11224,2011,8,1
10468,2007,7,11
11373,2013,3,1
10303,2009,9,2
10469,2014,3,2
11417,2013,7,2
11228,2007,1,1
10302,2013,5,1
11207,2012,12,3
11419,2010,12,1
11427,2010,5,1
10040,2006,9,3
10469,2006,11,3
10458,2012,4,7
10025,2009,6,2
11207,2009,4,3
10459,2010,6,5
11218,2014,3,1
10472,2009,11,3
11206,2007,2,2
11372,2010,12,1
10454,2006,11,1
10458,2009,12,4
10018,2007,11,1
11225,2011,5,2
10458,2014,2,4
10033,2012,9,3
10454,2014,3,3
11221,2006,5,9
11203,2014,9,3
11214,2014,6,2
10029,2007,6,3
11230,2012,3,2
11216,2011,3,1
11225,2006,12,6
11233,2006,6,3
11226,2009,5,5
10014,2007,10,2
11237,2014,10,2
10035,2009,7,1
11416,2012,8,1
10463,2011,7,3
11238,2007,4,2
10002,2013,7,2
11354,2013,4,2
11422,2010,12,1
10462,2012,5,6
10002,2008,1,1
11221,2011,12,3
11224,2014,5,1
11429,2012,8,1
10466,2008,4,1
10027,2012,8,6
10459,2012,1,4
10026,2006,11,2
10035,2006,1,2
10032,2011,4,3
10032,2010,11,2
10019,2010,7,2
11208,2014,6,3
10458,2010,3,9
11372,2009,3,1
11232,2011,6,2
11226,2014,4,3
10456,2013,4,4
11238,2010,6,3
10030,2007,9,2
10030,2013,12,3
11224,2009,4,1
11105,2011,5,1
10303,2013,1,1
10454,2010,2,3
10040,2013,7,1
11411,2012,10,2
10462,2006,8,1
11218,2010,2,1
10303,2011,10,1
11375,2007,12,3
